Original_Value,Scrambled_Value
BAIF,BAFI
GRT-TR,GTRRT-
NCS,NSC
AUTOGEN,TOAUENG
CSIC,CSIC
GRP-FGPST,GS-RPPFTG
FGI,FIG
BOOM Provisioning,nOr PnBiovgOMiios
BOOM MACD,DM OAOMBC
TFR,RFT
NSAS,NSAS
PMOSS_MPLSMon,SSMMS_MPnPLoO
EDFNT,DENFT
ALLOY-FBBNI,NYIOB-LAFLB
EMEATOAPPS,EMAESPTAPO
SN-WSM,SM-NWS
AOD,ODA
Eco/Pipeline,c/peiPnielEo
DEEP SS Ingest,nS EgS DEePIts
ISP Now,NIow SP
GRP-NIS-SATTERLEE-ELIA,L-ILEERRETPTEIA-GS-ANS
PSOC,CPSO
9PD,9DP
GMPISBWEB,BPGMIEBSW
PLASA,PASAL
IOS,OSI
MIG,MGI
FAST,SFAT
VAIN,IVAN
NPR Managed Services,ReisSdvencM aerPgN a
GMREF,MFERG
IXP,IPX
BCCP,CCBP
PIZCP-PCI-RSI,IPCPSRI-IZ-CP
VideoNOC,OioVeCNd
Cricket BIS,reStc iBCIk
Cricket SSS,tSCS Sckire
ALCS,ALSC
FAMLI,MAFIL
netoneportal,nolnopettear
MULECP,PLEUMC
MuleRTF,MluRTFe
ACP-TMF689,C89-PAT6MF
APICM,CIMPA
SOLS,SLSO
FirstNet HERO Tool,e EstliRH NrToFtoO
MDUAP,AUMDP
NetSeg,NgStee
SN-ADT Tool, DTTNoo-lSA
WI,WI
DARE,RADE
CREWPA,RWEPCA
SAORDER,DERAROS
ALLOY-EIPAM,OYLPAAMLI-E
EIPAM-NEON,APMIEONN-E
GRETA,RTGEA
CCDWSAZURE,EWARSDUCCZ
AYA,YAA
ACV,VAC
SMP,PMS
ESCR,ERCS
WFACRCACCESS,ECRCSAWFSACC
AZDP,AZPD
BGELK,GEKBL
SDDA - CPMRR,ADCRDP  RM-S
SDDA - NorthStar,SDDA-ShN  rrtato
SDDA,DASD
FIN_DATA_AUTO,TADN_UA_AIOFT
ITNRMS,SIRMNT
RGLAS,ARGLS
OGSI - Integration,IiO Ge ngnotarStI-
GRP-BIDW E2E App Support,-G WBPEADpEprutpS oI2p R
BOBI,IBBO
LS-CA for STB, fAo LBr-TCSS
MOBT,BMOT
NOWCKM,CWONKM
NOWACTDES,NAEDCSWTO
NOWIMgmt,mtONgWMI
RPCA,CRPA
Maltego,gMaeolt
OGSI - PA,SG IOAP- 
ADD-Logjam,AD-aLojDgm
GRP-TVM CABS/TDS,TMSRGBC-TS/VP DA
GRP-Ion,Pon-RIG
AAT Consumer,u ACrTAmsoen
CHINA AAT,CH TAAINA
TS-MOB,STB-MO
Nuance IVR,uVNIn Rcea
LS,LS
LevelUP Hub,Pev HUbeluL
NOWCOEPlatConfig,nialNfgWCCOtEOoP
NHYODA,DYNHOA
DB5G Lab,GB L5bDa
Arcturus,tuurAcrs
iPerf D2 FN, Ffr2De iPN
FOPT,OFTP
Ookla_D2_FN,OkoF2a__lND
COMET for CCS, CCCofEr OTMS
MOBNT-Star Services,eiBrMrstOe-c aTvSSN
DLPn,PLnD
COBRA-SOP,PAOCOSR-B
CALEA-INXT-Lab,LN-bETCA-IALaX
RANLABSERV,SREALAVBNR
LDBoR,LoDBR
GRP - MELEAT, EE-T LPGARM
GRP - MFELIX,-LRX FGIP EM
CCS,SCC
ALLOY-TNV,TOY-ANVLL
HaloPT,TaPlHo
CBS Services, scSeSCBeriv
Ent Loop Qual,uoQotEln p La
UBM,UMB
HR-WEB,BR-HEW
TRUNEX,TRXEUN
OT-USM,STMUO-
STAMPS,TMASPS
DACS-EMS,MASESD-C
NOWCSDM,DNOSCMW
FELIX,XEFIL
Astra,Asrta
SDWA,DAWS
LRSI,ISRL
cWEA,cEWA
usf_certification,fautosnieciric_tf
NQP RCATS, CNRATSPQ
Nokia NetAct/MantaRay NM EMS Lab,A  EanSi/ya NMteaa NRNaMbMLktcot
GRP-NBN APPS,PRBPN-NAPG S
AQG,QAG
CMD CTR,TM DCRC
NMA (generic),egMcrni N(eA)
SS-ATTC,S-CSTTA
CALNET_TTRT,ATC_TLTNERT
MDUFS,SUDFM
CHAOS-EXP,AOH-EXCSP
MIPT JS,JMPIT S
M5ToolsAutomation,latmsoTo5tAuioMon
NMA Reports,NMr tRApsoe
MOBNT-Roamware,MOmBNToR-reawa
TI,TI
SNvTM,TMvSN
cBCM-G,M-GBCc
S2P CORPFIN REPO,OIPOSEF RP2NRCP 
NMSR,SNMR
SN CSM, CSSMN
SN OMB, MSOBN
SMARTS M&R-S, MSMASS-T&RR
NOWATSSP,ONAWSSTP
NOWtCMDBGC,NOCBMWtDGC
NOWAction,ncoWtNAOi
NOWtCMDBTN,WCOTNBNtMD
MHire,HeriM
HR Teamspace Global,e pmlGbleRTHa casao
HR Mobile Agent,AbgeHliMRno t e
EASE,EAES
Access Supplier Scorecard,ccuSeeloeAccri r spaprdSs
SATMAN,TMSANA
MNOC-AT,NM-ACTO
phpIPAM,pIMPpAh
Appworx,xpoprwA
FARS,FRSA
SOLID,LDIOS
SOLMAN,LSNAMO
ACC,CCA
BBNMS-CMI,MBBCMISN-
DME,EDM
Metadir,raiMted
EPNM,EMPN
NQP EWPR,PQR PENW
USPDNS,USPSDN
Field Studio,oliueSF idtd
MOBNT-ENT MSP,OPTMTENNBM- S
MOBNT-Neo MSP,MNO NPMSoeB-T
IQGEORDP,GOQIPEDR
SpecNET,ScpeNTE
NPP,PNP
FNEPC,CPFEN
GRP-FNCORE,FRONE-GCRP
ATLAS-ORCA,TAAACROLS-
EC,EC
USDART,UTDRSA
DTV AIM_DINGORS,TDOM _INARGISVD
CCM,CMC
MNP,NMP
TFAS,TSAF
CASD,ACSD
MERV,ERVM
AAACDR,RDACAA
ABI,BIA
LECSIS,ELSCIS
LS_NBSTF,TSSLN_FB
TOPA,POAT
PSVT,STPV
RMMS,SMMR
iBWUnity,BnUWiity
CBSS,CSSB
NEO SI,S NEOI
xSR,RSx
Adaptive Messaging Antispam - Lab,di-esgai netmaigspbs nt  MAAaaLpv
AppStack,pSpAkcta
IHRWMP (TRT),H TRIWMTR()P
CALEA,LACEA
WFA Reports Website,eoeAbriWFssWp  tetR
CRNTCT,NTCRTC
BTOD,OBTD
iTIC,CTiI
SNM,SNM
THIRD PARTY EBPP,RDATY EPTHRPBI P
DWEA RFP System and NDBA System,R EdFWemsyPtDe mAN tsD y SAanSB
vAC-Lab,-LAvbCa
Eloqua,Eouqal
Labor-DR,ob-RDraL
TUAB,TAUB
BCAT,BCAT
CDF,DFC
FPP,PFP
PMATT,MAPTT
Circle,cCreil
UTG,UTG
TOMP,POMT
DTV EPOCH,VPO ECTHD
OPTIMUS,IMSUOTP
IP-VCM,IPMC-V
MTV,MVT
OGSI - SOLA, IAGO -LSSO
C2C Service,ie 2vcCreSC
vNAT-AIC,AC-vTINA
RTMX,XMTR
PCE,EPC
PST,PST
GICECAP-FNC,NIFCC-AGPEC
wifi-gs,i-gifws
ONE Tool,NoOol TE
GICECAP-IRNCP,PICRACPG-ENIC
GICECAP-MPRP,G-PAMCEIRPPC
GICECAP-WS,CCASPEW-IG
ABMGenAIDM,MADIeAGnBM
IDP-WebAcctMgmt,bAcPctmtD-IgMWe
BMP2,2PMB
NAU,NUA
(FED) - TDICE,FD()  DECEIT-
IKMS,MISK
MWA,MAW
HRSRA,RRSAH
HR Compensation Case,s CnemnHapoCtoR aeis
ROSTER,ORSETR
MBAC,BACM
ODS,SDO
PPI,PIP
PAOS,SOAP
ESS,SES
APEXAUTH,HTAAUPXE
OWMS,OMSW
CXMT,XTMC
APEX,PAEX
ATTU,TTAU
MNAT,MTAN
VNI TF ANNC,CNATF NI VN
BERT.,.ERBT
RELEX,XRELE
ATTMAIL,TATALIM
Simone,moienS
Cricket Mural,uca errlkitMC
Cricket Wireless I&E,eclsi &ies EerrtCkIW
ELA PSORO,ORE LAOSP
DG2MQSERIES,IEQR2DSGMSE
MIFCORBA,RMAOBCFI
CS BOBPM,O BPCSMB
LION - AS400,NA-L4O  0I0S
OGSI,GSIO
PAPC,PPCA
CIA ABS,BAICSA 
BEST,ESBT
(FED) - BEST,)DS- EETBF( 
FOM,OMF
TFSCPQ,TCFQPS
DOCVIEWER,VDECIOREW
GSCAP,SPACG
CKTMKTW,TTKMKCW
Cricket Bread Financial,iieinklctraad F acrenCB
SHRID,RHSDI
Cricket Vehicle, eeVlkhceitcirC
FireEye,irFeEey
EWSD_DCO,D_WOCEDS
IPTRC_Tools,sToT_PRIoCl
Mobility Network Infrastructure Tools,tflM Ilnrwtr skiuerbiNeucsoTtator yoo
UCCX,CUXC
MOBNT-PCRF,RPON-FCBTM
NNC,NCN
NUDOC,CNDOU
ASSM,SMSA
MNRCT2,TC2MNR
3NCP,CP3N
ESMF-EUPF,PEEFFSMU-
ATO_IOT-DM_OPS_PORTAL,LID_ST-AMROOP_ATTOO_P
FLDS and FLDA,DFLd aSnLA FD
PCRF-SD,SCRPD-F
CTSM,CSTM
apache,hacpae
NRCT,NRCT
Conexus BPACA,uosePBACCxnA 
RDAF,AFDR
pUSP - pISC,pU-  SISPCp
NLRM,MRLN
PRGST,PSTGR
CCO,CCO
GICECAP-POI,OCAPIICP-EG
GICECAP-FNP,NPGFACEC-IP
Case IQ  CM,CCQIseaM   
MOBNT-VitalNet,NaeBitVNl-tTOM
newCOBC,OBnCwCe
Ribbon-VNI-SWe-EMS-Prod,WSMP-IN-bbie-oR-EdSrnVo
Ribbon-NTN-SWe-EMS-Prod,-ePbW-R-r-dSbNEonTiMSoN
Ribbon-VNI-PSX,-nIoNVRSbiXbP-
E911 IDB,91DEBI 1
SAEGW-CP-PROD-BB,BGPE-AC-DW-SOBRP
SOAP,SPAO
SCOJS,SOJCS
Infor,nofrI
SAEGW-UP-PROD-BB-MEC,-EM-UBOD-RPWEPA-SGCB
SCID,ICSD
MS SCOM PA,MCM O ASPS
GRP-FVTT,-TRVTGPF
VP,PV
FTS,FTS
Radview,ieadvRw
LFDDQ,DDQLF
CM - CIQ,CI  -CQM
LOMT,LOTM
MYL,LYM
CSP-MUAM,MSP-UMCA
ARIS/EXACT,IATRSCXA/E
IdentityIQ,QtitnedyII
RHL,HRL
MKTGIS,GSMTKI
ASSF,FSSA
ICMS,ICSM
SNCI,SCNI
PayrollWB,lyoBarlPW
CISC,CICS
MTAD,DATM
SQL SCHEDULER,HLEQSEL DRSUC
WTAI,IATW
LLBS,SLBL
AP SDS, SADPS
DP-DSP,S-PDDP
DATABANK,TAABADNK
TTED,TEDT
CSOSO,SSOOC
NOWPAVP,PPNOAWV
NOWVRPOMSCCM,NRSWCPOMMVCO
NOWIBMGDP,IWPGDNMOB
NOWVSMCSO,SCVOMONSW
NOWTISCUIC,COUWTIISNC
NOWAGM,NGAWOM
NOWEntDiscoCld,nCOdcNWloDEits
NOWGCC:CA1,1CANW:OCGC
NOWGRCCCUCF1,FCG1UCWRNCCO
NOWEntDiscoMisc,tnOocEicsNMsWDi
NOWVACSOCONFIG,NNOASWCCVFOGIO
APOC,CPAO
TMFHorizon,nFTHrzioMo
Darkstar,raDrkast
AT&T ABS,TA &TSAB
EISN,INSE
NEON-NSSE,NOE-NSSEN
GRP-ATT-COMMS,TSMCMP-GAOT-R
FOS,OSF
NICUS Core,NSCIC Uroe
NICUS - CT, TC UNCSI-
innv_studio_int,nnus_toitnidv_i
MOBNT-MBBT,N-OTBTBMBM
GRP-ARCHER,R-RAHGCERP
EnhancedBillInfo,oIhelBdEfncianln
NOWPDSOPlatDevSecOpsGlobal,OpWlsPoNODSecPvabOeSltlDaG
MSLA,MLAS
ECOMP Portal,EOPCroaMtP l
CADM,DACM
NetOps_Web,sWetbNep_O
NOWPlatformPAI,PPrNIWlAfOaotm
NOWInstAccMgmtClient,tmnesNCIgOctiWlAcntM
GRP-Roamer Audit,-mo PdtRriReAauG
CAVU,CAVU
CNow,CNwo
BUS,USB
NMT-ETL-Now,TNLw-N-oTEM
TSnR,TRSn
MIUS,MISU
ANCHOR NI,NCIHN RAO
CABS ETL,T ESCBAL
collabportal,bocaltolparl
DFS,SDF
TNIP,IPTN
GSAT-USP,A-PSSGTU
BILLING EDGE - BSBE - LOW END,LEN- E IEDGIL S-E NBDBB  WOLG
DCS PL17,D P1LSC7
NICAM,CNIAM
WFABilling,lgAiFiBlWn
AS,AS
OGSI - Analytics,yIa OStGsAclni- 
(FED) - B2BIGW,DBF2- (BI W)GE
CMPS,PMCS
BCAPPS-CS,PAC-SPSBC
HR Resources,rsHus RceeoR
NENB,BNNE
IAM Consent, MsoAnItneC
NOWSGCCNDC,CDNCWCNSGO
CFAS GL Fusion,GLsAiF n CFoSu
GFMO,GMFO
INOG,INGO
PAA,APA
IDPWSLAVE,SEIAPDWVL
EDDF,DFDE
CNAM Screening,gnNncrSACe Mei
PD-SN,S-NPD
DCS CR60,R 0S6CCD
NETS,SENT
ONEVU,VUOEN
NISE-LOCAL,CLOS-NAELI
MSP LABS INFRA, IB APLRSSMAFN
MYNAH,HNAYM
CSMS 1+,MS+SC1 
DEMS/DARICS,SAREM/CSDID
MTMD,MMDT
AFPS,FSPA
Astrix,xritsA
Percx,Pexrc
RACFREG,GAEFCRR
IOE/CRD,OEIDR/C
BPP - FACILITY,IAF PYLC-BIP T
RO,RO
PWS,PSW
Mobility Dashboard,dhsMt lirbbiaDyooa
GRP-RM2,-P2RRMG
GRP-PM2,GPPM2R-
DSAP,SPAD
LH:RH,LHRH:
MT,MT
ATO Fleet,t TAeleFO
ADP Tool,olAPoD T
MVNO Portal,ao MOPVrlNt
NCD,NDC
ATCS IPTC,C ACTTPSI
SIFT,ITFS
ATCS WFT,FCWSTA T
SAART/SAART WEB/RUSS,SAURRTTEA/RW/SB ASSA
OBF,BFO
WIAM-ILM,IM-WIMLA
Workflow-Assistant,atAs-fowkoiWnrtsls
TPE,PET
gfsam,mfasg
FNDR,DNFR
MM-TAM,-MMAMT
PAYMENT STATUS,NSEAY UTTMASPT
PSTA,PSTA
TZSS-cB,TBS-ZcS
ACATS,ATSAC
CLMAIN,NAMLIC
RESULTS.COM,RO.CLSMTUES
GRP-RBDST,RGPBS-TDR
PPath,tPPah
CASS,SSCA
A&AI,&IAA
GRP-RAKHI,HP-GKARIR
Cricket PG Store Build Portal, PitSrcarltrodtGCeBi u lPoke 
BICON,CNOIB
NEON-CM,NMC-ENO
Symphony,phyoymSn
DWNT,TWND
NEON-NCP,N-OCEPNN
TMFSOE,EFSTOM
SDN-CP,DPCSN-
GICECAP-TAX,IEGC-TXPACA
NOWCSIAPI2,PIWOISANC2
GRP - VSFD TVM,SFRMGVD- TP V 
NOWHOS,NSHOOW
ESAMT,EAMTS
NOWIPBB,NWBOBPI
HYPERLOOP,EPOLROPYH
ATTOMT-NOW,OOMTTWN-AT
SRE-Metrics,REs-McerSit
CodeCloud,ldCCdooue
PCAWF,CPWAF
UIS,UIS
LDW - C,-C D LW
DQIS,IQDS
GRP-TechM MS OSC,GSPMMST-eC ROch 
CRESLTH,SCRLTHE
FN SSO,SNFO S
CDODBELT,TBOLDDCE
DKnow,wKnoD
CSOLABD2,OLA2DSCB
CSDP,SDPC
DVL_Plano_lab_RDP,aa_nl_lLVbDP_oDRP
MTLabCertification,nttofCaiarTcLiebiM
CTSYSX,SYTSCX
EDFMS,FESDM
NPQ,PNQ
Platinum,lmPintua
NoldusDT,DsTlduNo
PIZCP-NRTM,MT-NCZRPIP
PIZCP-SL,SCPLPZI-
ATTGCC,ACGCTT
SDN-AM,-ANDSM
D4Now-GPS,oDG4PwN-S
myAT&T Sales,ymse&aTSTA l
USPe CcTAF,CU AeFSTPc
ExClaim,mixECal
TaxRD,RaxDT
ACABS (AMPS),SAA SB(PMA)C
MaRCAnalytics,ilMAantRCcays
ATTCOMM-OMT,COMTM-TTOMA
Appl Intf Intg, tI fIpngptlAn
SI/SR,S/IRS
BISODA,BISODA
ACP-TMF666,6FMATPC-66
ACCE,ACCE
bizComp,opCmbiz
GRE CBRE Insight, tEiBRGEnRIsghC 
D2SIL,SL2DI
EXFOWorx,rOFWEoxX
ATAS - Service Assurance,Acr i  TAseSe-rvneuaAScs
CPE Billing,nlliPiC BEg
LISA,SAIL
SOCBB,BOBCS
FirstNet - AEM,MrtFE-sA i tNe
DEEP,PEED
iMASP-eSSD,ASM-SSeiDP
KeyFactor-EJBCA,e-FacBtAoryKJCE
VoltageSD,aoSlDegVt
UBIQ,BIQU
ALLOY-NOW,ONWALYL-O
ASLA,AASL
PMOSS_iTAS,PTSOASS_iM
TCE,ECT
AC,AC
COMS,MCOS
GRP-IOS-TVM,S--TOPMGVRI
LSC-RT,-SLCRT
CPEPC,CCPEP
REPOSE,REEOPS
KICCARE,ACCEKIR
VARICENT,TCAERNIV
CRE-FS,RC-FES
WB-INFRA&VIZ,I&BFARIVZWN-
TUOPS,TUSOP
m-DRT,TRD-m
CA,CA
AGAI,GAAI
CTM,TCM
OOKLA-LAB-BB,BB-L-OBALKOA
MEX,EXM
D1 Mobility Voicemail,ibl MVimiocto1 leiDay
AERO,OREA
PREMIER-ALM,-MAEPLREIRM
AOFlow - (FED) - Cast Iron,-F l CsArtnE -O F)ooa(ID w
GRP-LUCUS,GLUPU-CRS
JC,CJ
Cricket Akt BO,ct ikA OtkeBrC
ABS DataWarehouse,oeata esDBuWrAahS
GRP-DP-DLIB,PL-DPRGI-BD
GMISINDIA,GSNIIIAMD
ProLaw,waoPLr
Ericsson ENM Lab,riLaMEo  sEsbncN
CSO-SN,S-NCOS
cybernav,abnreyvc
SUITS,TUISS
BVAT,BTVA
HAMSN,NSHMA
UMPSN,UPNMS
aiTAP,PATia
ADD-NGFW,-NFDAWGD
ICORE ABS,REICOBS A
GRP-SSREV,EVS-PRSRG
GOTT,OGTT
TRICC,TRICC
BDMSP,PMDBS
MOTORQOEM,OOMQTEMOR
VPT,TVP
YOUACHIEVE,EUEYCIHVAO
3STP,P3TS
NOVA NG,ONGVAN 
SARTS,SSTAR
ASPOT,TSOPA
AFO Portal,F AOortPal
NOWGRC,GRNWOC
EO-FBC,-EFCBO
PIZCP-ICL-CIE,PCZL-ICEICPI-
MEC H&B,E &MHCB
ATTBS,ABSTT
GRP-Cricket Cloud,ecirGuC-CRl koPdt
IAM-MQC,QMC-IAM
TAS Servers,rvSeSeAsTr 
SDDA - AFO MW,D DW M-ASOFA 
NSMM,SMNM
ACSF,CFSA
NMA,NAM
vCNMS,vCNMS
RPERF,EFPRR
NGNSD-HVCS-MACD,MHVGD-SDS-CNCAN
vCNMS-Infra,vrSCfIn-MNa
OTDCUO,CDUOOT
DEEP NEO, EPONEDE
OneTrust Consent,nst rOCnTsoetenu
DevTestSV,TSesDteVv
DEEP MTW,TEWPEM D
Datacap,paDacat
SPNVA,PNSAV
CloudDialer,iuaCDlodrel
Martech Adobe CDP,CDebdrMPaAh eot c
LAPD-E911,1D-PLE19A
ROMPRC,RPCOMR
VERTICASTR,ECIRTTRASV
OTProd,ProOTd
Sec Po,Poe cS
CAC,CCA
OTDCUBR,CBRODTU
AA ACL,A AACL
ATTAWSCloud,TlASuCdATWo
Sanity,ySniat
wifi-ing,iw-fnigi
NetBrain-C,NBeni-Ctar
SLACKABS,ABLKCSSA
BQT,QBT
V360,V063
ABS Marketplace,rAeSeBclaMpkt a
FORGE,GOFRE
wifi-ias,fiwi-ias
wifi-ims,fimsw-ii
VoFW,WVFo
VA4CV,AVVC4
ATTCS,CTTAS
Navigil 580,v0 8iilgNa5
ILS,LSI
BSSe-mS360,0-6mBSeSS3
TempCloud,mopluTCed
BWmon,mWBno
IPSecmon,SPcnIome
USPe NACM, AUSCMPeN
STM,TMS
VitalNet for Managed Services,ro i vNae dSVgatlrseientcfMea
MOOSA,OSMOA
IDP-PCI,PIP-DCI
IRIS IOP,OR PIIIS
GSC S2P Work,SWok2SPr CG 
NETOPS-GTAC,CEGPNOASTT-
SNICU,SIUCN
cBCM,CBMc
cbcma,bmacc
S2P SD,P2SS D
S2P Common Architecture,eunc tcotrPme h2CrSAiom
S2P File Trans,nTSPa e ir2Fsl
S2P Risk,isS2 kRP
S2P Automation, mAttinPo2Suoa
GSC S2P PCM,MC S2 SPCGP
S2P Analytics,Pns2cyliAta S
S2P NLP,P2N PSL
S2P FIN COP,ICN2PO  FSP
S2P ERP,EPR2 SP
S2P Playbook,aPSPob lo2yk
S2P SH,S2SH P
S2P PCM,SCMP 2P
contract_s2c_ repo,et2rp_so_ancotc rc
IUCS,CUSI
CTX-CLD-POC,P-CT-LOCXCD
NOWINSTAR,TNISNAROW
ATTChange,hagTATenC
SN GPS MG, GP SSGMN
SN CM PR, M SPRNC
SN - AD,SA N-D 
SN SDM, NMSSD
ATTNOW-IT,ONIWT-TTA
ATTNOW-TSNOW,NOWT-NATSTWO
ATTNOW-LMC,CTONATM-WL
ATTNOW-EDF,DAW-ETTOFN
NOSNOW,NSNOWO
AIQ,AQI
IDP-IE,ID-EIP
KNK,NKK
DEEP NPS,ESEDPPN 
BUSMKT-CXINF,FKUST-BMXICN
BUSMKT-CI,KCU-TMIBS
ICAP-VM-C,-CICAM-VP
SMARTS M&R-C,RM&SMRT-CS A
Cloud API Gateway,P tAaal dCyGIuwoe
OCPD-CJO,PCJ-CODO
OCPD-CEP,E-PCODCP
Business_AF,ssseu_FiBnA
IDP-Partners-App,ApprtPIrDP-e-asn
GCM P8,8 MGPC
Products & Offers â€“ Cloud,€âdO P suc& tdloCur reo“sff
NOCSM,CSONM
IDP-Web-BP,B-IWDPPbe-
NOWRTT,TNOTRW
NOWToolkitDB,NODBotoTWlik
NOWtCMDBCC,tDCOBCMNCW
NOWATTNOWI,ONITOWNATW
NOWATSCC,SOTACNCW
GENSTUDIO,NTUSEGDIO
H&PCal,aCPlH&
ILT,LIT
P&TAV,&VTAP
Workday,orWdayk
IHR-Materials,aHirIa-MesRlt
SN HR-COC, SHRN-CCO
HR MyHQ Ask ATT NLU,QRTH HT  MLsU ANkAy
HR Knowledge Content,wtnoHClgeKodR ente n
HR Lifecycle Enterprise,H RnretepyceiifLecsrE l
StackStorm,rStkmcaotS
IP Tracker,TIaP kerrc
NMAWeb,eMAWbN
PDH,PDH
AQUA,AAUQ
DLCOE,DEOCL
ICAP-VM T.io,.iAITMoCV P-
Ginger,iegGnr
IDP-Prometheus,umePrto-DeIsPh
AB_Target,BrTaetAg_
MUPS,PMUS
AIM-EMEA-SALES,MEAMAESA-EI-LS
MFM,MFM
Invoca,nIovca
ZInfo,foZIn
ATTBC3,TTA3CB
CEP,CPE
ASAP,PSAA
SHS,SSH
MOBNT-RSS,RNSSOT-BM
CSArchive,AvrSheCci
USERT,TERSU
HRank,akHRn
SAP CUA & GRC,PCACGUAS  R &
SAWT,AWST
QMâ€“OPUS,€PSUMQâO“
WebPPM,MPPebW
Table Manager,ag enbeMaTrla
ADAPT,PTDAA
AL2,A2L
IDP-CLD,PDCLDI-
ITAT,IATT
HR Knowledge,H wogKeedRln
HR Learning & Development,L npgl Ht rvaoeieeneRD&nm
LI Learning,n iLnIeagLr
HR Integrations,soenttR gniIHra
RMApp,ARpMp
GRTT,TRTG
VNFBay,aByVFN
wifi-rgnets,fegntrsw-ii
LTMS,TLMS
IWDT,TIWD
WFP Tool, oWlPToF
WLANTRAP,WTNLAARP
ASRR,SRAR
Skylar1 -S,Syka-S1 lr
ECOP,POEC
IDP-Web-AOOM,WbMOOAPD--eI
CHCSBT,CCTSBH
HR Agent Workspace for HR Case Managem, enekasfooe rga rgCsc MWaARpneHmH atR 
fiberimpairmentsAR,srmfeibpiArmtieanR
UBV,VBU
RTSTATS,RTSTTAS
Predictive TONA,id eiPANTctervO
MOBNT-Neo MSP INFRA,NTB PIR-MeSN AOoNMF
MOBNT-ENT MSP INFRA,NN  IMOMNRTSTBAFP-E
PART,ATPR
vSeGW-FW,GWFW-Sev
CODES,ESCDO
IBIS,BISI
FRBE,EBRF
Rhea,Rahe
MCOR ACS, CMSRAOC
GLS,GLS
License Manager,i MsacaenregeLn
IB-PMV,PMI-VB
EVC UMTS Mobility Voice Core MSC,rlboieSESMM e tiV y iVc MTCooCCU
FNePDG,PGDeFN
Spicer,rpiceS
DTV-ASMM,ATSDVMM-
DTV VA, DVVTA
Sara Plus,uraPsSl a
IWM,MIW
MMPMO,PMOMM
MOBNT-FN MSP INFRA,MIT  NMBRSAPNNFOF-
vF5-LAB-MCPTT,TF5vLMP-CAT-B
ACCORD,CARCDO
FNFW,FNWF
NOVAMOW,ONAOVWM
SPMT,SMTP
AOTS-MA,MS-AAOT
ACAC,ACCA
CoFace Enabler,Fbaeone lcraEC
RPE,REP
AECL,CELA
MBBT-PILOT,POTL-BIMTB
MBBT-GS,TBSM-GB
ACEGIS,GIECAS
BLWL Enabler, rLbBnlELaWe
Manager Platform Extension,afatxs rgrMEPntoneomialen 
RACO (HCL),()RCCO HLA
FRM (HCL),(HFR CML)
DPO,DPO
ANE,NEA
ACE (MIDAS),MIC )D(SAEA
SOC (MIDAS),A)DO SICMS(
ES (MIDAS),()MI ASSED
CCAL-ADMIN,LIMDA-ACNC
iSTARS Archive,ARi STScvheAri
CCAL-EHS,H-LSAECC
CCAL-WTRMRKG,CKRRTAWLMGC-
CCAL-RECT,CCLCERT-A
CCAL-SYSREP,ACRSSYCLP-E
CCAL-DATAINC,CLANACTC-IAD
CCAL-REF,A-RCCELF
FHC,FCH
RTC,TRC
Health Check Platform Extension, e CHlnraatthoxnheEPmste olfick
NOWCEI,IOCWEN
NetPro - Backposter,s orta-NeoPceBptrk 
PIB,BPI
NetPro - HICAP,Pe-P N HArCtIo
ALM TFW,A LFTMW
WBDMR,MRWBD
ACU EMS,ECMAUS 
BVOIP-AS,PVI-ASBO
ACEW,CAWE
MOB-CALEA-MDF,MACDBMFE-O-AL
The CHAD,CDAH hTe
DMA SS,S MASD
TIC,CIT
OEM-Builder,rlMiBu-eEdO
VLSA,VLAS
Iplanner,lnrpenIa
I&C VRM,RMI &CV
GCMDIP,CIPDMG
DEEP_PF,EDP_EFP
LSB,LBS
PERSEPHONE,EOPNHSRPEE
ULTS,ULTS
ARF,AFR
FirstNet - GIS,G  iIr-NSettFs
NFAA,ANFA
GRP-CQE Digital PVT, GiVPtEDaCT -glRiPQ
FNC 2.0,.02N FC
MuleSoft Gateway,wMayeutlGtSeaof 
OMNIGraph,rNMIOaGph
pUSP - pBTS,USBp-PT pS 
ABSFO-IRIS,OSA-IRISFB
LVCLKR,LCRVLK
1876EMAILDEV,D7EIE81MLA6V
WFA/C,W/CAF
AAI,AAI
FNM,NFM
BITDEV,BVTDEI
Pompeii,Peoipim
ASF DC,DSFA C
DTPP,PDTP
NetDialog NetX,eeta XNDNotlgi
GMCCA,CMAGC
CQE AT,QECT A
GRP-CQE CS,RPESC QGC-
MOBNT-CALEA CDDF,CACELNMDOB-TD AF
GTM,TGM
Sea,aSe
MHE,EMH
DTV pdsl,lTDdp sV
ATTCDIN,NCIADTT
ADEPTweb,ewbADTEP
3QT,Q3T
CTx-JNY360,JCx6T0Y-N3
RFP_Processing,sPcreg_noFRPis
GICECAP-NTOP,OECITACPPGN-
GCM-SN,S-NGCM
DTB,TDB
connectedai,nceoiedtnac
ORC,OCR
ATTLAS,TTSLAA
DTV EG-TOOL-IQ-DVA,OGT VDV--TL-AOEQDI
DB-ONE-ABX,NBBAO-X-ED
DTV EG-TOOL-IQ-IVMS,OEO-DT MGQIL-TIV-SV
NOWTIRKS,ONSRTKWI
BIRDe,eBDRI
CPOP,OPCP
IDP-Customer Graph PCI Cloud, CPahroDCGu-uotdrI emPsI pCl
EDTSSMART,SRDMESTAT
CX3D,X3DC
EDS,DES
Foleon,oneloF
CSNET,TSNEC
NMIC,NIMC
WBPT,WPBT
TBO,TOB
